Hackensack;NJ,2020-06-17T21:36Z,2020-06-17T0:20Z,1.46,7.41
Hackensack;NJ,2020-06-18T21:15Z,2020-06-18T23:02Z,1.68,9.25
Hackensack;NJ,2020-06-20T14:29Z,2020-06-20T15:05Z,1.67,10.00
Hackensack;NJ,2020-06-20T19:43Z,2020-06-20T20:38Z,2.18,16.36
Hackensack;NJ,2020-06-22T16:07Z,2020-06-22T19:41Z,1.40,8.20
Hackensack;NJ,2020-06-23T16:58Z,2020-06-23T17:42Z,1.36,6.82
Hackensack;NJ,2020-06-23T18:40Z,2020-06-23T22:52Z,2.14,14.96
Hackensack;NJ,2020-06-24T18:29Z,2020-06-24T23:28Z,2.01,15.24
Hackensack;NJ,2020-06-29T0:43Z,2020-06-29T2:16Z,0.65,5.48
Hackensack;NJ,2020-06-29T19:59Z,2020-06-29T21:04Z,0.92,4.62
Hackensack;NJ,2020-06-29T22:50Z,2020-06-29T23:22Z,1.88,18.28
Hackensack;NJ,2020-06-30T20:50Z,2020-06-30T22:39Z,1.10,8.39
Hackensack;NJ,2020-07-01T18:55Z,2020-07-01T22:01Z,1.29,11.92
Hackensack;NJ,2020-07-01T22:18Z,2020-07-01T0:05Z,2.80,18.50
Hackensack;NJ,2020-07-02T16:49Z,2020-07-02T19:44Z,1.71,9.94
Hackensack;NJ,2020-07-02T22:40Z,2020-07-02T23:28Z,2.50,12.19
Hackensack;NJ,2020-07-03T17:36Z,2020-07-03T18:07Z,1.94,22.26
Hackensack;NJ,2020-07-03T18:43Z,2020-07-03T20:08Z,2.12,40.08
Hackensack;NJ,2020-07-06T15:41Z,2020-07-06T20:46Z,2.75,20.48
Hackensack;NJ,2020-07-07T18:11Z,2020-07-07T23:27Z,2.09,18.01
Hackensack;NJ,2020-07-10T18:33Z,2020-07-10T22:07Z,2.80,32.45
Hackensack;NJ,2020-07-11T15:54Z,2020-07-11T17:58Z,1.45,9.19
Hackensack;NJ,2020-07-11T21:27Z,2020-07-11T22:48Z,3.70,25.98
Hackensack;NJ,2020-07-13T18:23Z,2020-07-13T20:01Z,2.45,19.59
Hackensack;NJ,2020-07-13T20:02Z,2020-07-13T22:20Z,2.17,14.35
Hackensack;NJ,2020-07-14T21:21Z,2020-07-14T0:50Z,3.16,20.53
Hackensack;NJ,2020-07-16T21:33Z,2020-07-16T22:58Z,2.12,17.84
Hackensack;NJ,2020-07-17T19:27Z,2020-07-17T0:08Z,2.56,18.90
Hackensack;NJ,2020-07-18T20:26Z,2020-07-18T21:39Z,2.47,24.66
Hackensack;NJ,2020-07-19T22:16Z,2020-07-19T23:27Z,3.38,15.21
Hackensack;NJ,2020-07-20T19:07Z,2020-07-20T22:47Z,2.18,16.43
Hackensack;NJ,2020-07-20T22:47Z,2020-07-20T0:24Z,1.86,14.23
Hackensack;NJ,2020-07-21T18:17Z,2020-07-21T23:42Z,2.40,16.20
Hackensack;NJ,2020-07-23T22:48Z,2020-07-23T2:34Z,0.80,6.57
Hackensack;NJ,2020-07-26T18:03Z,2020-07-26T18:25Z,2.73,32.73
Hackensack;NJ,2020-07-26T21:42Z,2020-07-26T1:01Z,1.81,11.36
Hackensack;NJ,2020-07-27T19:17Z,2020-07-27T0:03Z,2.10,16.42
Hackensack;NJ,2020-07-28T18:52Z,2020-07-28T19:45Z,3.40,26.32
Hackensack;NJ,2020-07-29T21:18Z,2020-07-29T23:16Z,2.03,13.60
Hackensack;NJ,2020-07-30T20:16Z,2020-07-30T3:36Z,1.23,8.42
Hackensack;NJ,2020-08-02T18:48Z,2020-08-02T22:53Z,2.69,21.55
Hackensack;NJ,2020-08-04T15:47Z,2020-08-04T17:54Z,0.94,10.63
Hackensack;NJ,2020-08-05T13:08Z,2020-08-05T16:44Z,1.67,9.93
Hackensack;NJ,2020-08-07T20:51Z,2020-08-07T23:32Z,1.49,12.20
